txn_id,store_id,txn_date,amount,quantity,discount_pct
P-00000,S-014,2026-08-10,"91,83",4,10
P-00001,S-014,2026-08-14,"32,02",2,15
P-00002,S-014,2026-08-11,"153,13",3,10
P-00003,S-014,2026-08-23,"109,46",2,
P-00004,S-014,2026-08-17,"169,70",1,
P-00005,S-014,2026-08-17,"203,63",2,5
P-00006,S-014,2026-08-30,"229,32",2,
P-00007,S-014,2026-08-08,"121,54",1,
P-00008,S-014,2026-08-24,"123,68",2,
P-00009,S-014,2026-08-21,"212,81",3,
P-00010,S-014,2026-08-11,"22,88",3,15
P-00011,S-014,2026-08-06,"46,72",3,15
P-00012,S-014,2026-08-08,"152,81",2,10
P-00013,S-014,2026-08-02,"149,82",1,
P-00014,S-014,2026-08-21,"56,78",3,15
P-00015,S-014,2026-08-23,"194,96",2,
P-00016,S-014,2026-08-29,"175,20",4,5
P-00017,S-014,2026-08-30,"38,23",2,
P-00018,S-014,2026-08-02,"121,96",4,15
P-00019,S-014,2026-08-12,"169,27",4,
P-00020,S-014,2026-08-16,"186,93",2,15
P-00021,S-014,2026-08-15,"78,03",4,
P-00022,S-014,2026-08-29,"174,79",1,
P-00023,S-014,2026-08-24,"111,29",3,
P-00024,S-014,2026-08-13,"163,64",4,15
P-00025,S-014,2026-08-01,"13,08",3,10
P-00026,S-014,2026-08-27,"60,65",1,
P-00027,S-014,2026-08-13,"101,25",4,
P-00028,S-014,2026-08-30,"79,66",3,15
P-00029,S-014,2026-08-06,"61,53",2,
P-00030,S-014,2026-08-10,"34,89",2,5
P-00031,S-014,2026-08-01,"83,17",3,
P-00032,S-014,2026-08-04,"13,93",2,
P-00033,S-014,2026-08-25,"73,00",1,
P-00034,S-014,2026-08-20,"198,92",2,
P-00035,S-014,2026-08-08,"69,01",1,10
P-00036,S-014,2026-08-26,"151,30",3,
P-00037,S-014,2026-08-19,"17,48",4,
P-00038,S-014,2026-08-11,"207,80",3,
P-00039,S-014,2026-08-05,"234,10",4,
P-00040,S-014,2026-08-30,"194,52",4,15
P-00041,S-014,2026-08-18,"4,71",1,0
P-00042,S-014,2026-08-12,"79,07",4,
P-00043,S-014,2026-08-04,"52,19",4,
P-00044,S-014,2026-08-31,"173,35",2,15
P-00045,S-014,2026-08-27,"114,16",1,
P-00046,S-014,2026-08-10,"95,71",4,
P-00047,S-014,2026-08-17,"90,74",3,15
P-00048,S-014,2026-08-27,"133,04",3,0
P-00049,S-014,2026-08-30,"199,37",3,
P-00050,S-014,2026-08-29,"78,86",4,10
P-00051,S-014,2026-08-10,"238,43",4,15
P-00052,S-014,2026-08-23,"143,85",2,15
P-00053,S-014,2026-08-05,"155,49",3,10
P-00054,S-014,2026-08-01,"159,11",2,
P-00055,S-014,2026-08-16,"238,10",1,0
P-00056,S-014,2026-08-18,"105,10",1,5
P-00057,S-014,2026-08-26,"39,63",4,15
P-00058,S-014,2026-08-14,"89,26",3,15
P-00059,S-014,2026-08-01,"102,58",4,5
P-00060,S-014,2026-08-13,"10,76",3,15
P-00061,S-014,2026-08-24,"123,74",2,
P-00062,S-014,2026-08-10,"80,67",2,5
P-00063,S-014,2026-08-03,"79,49",1,
P-00064,S-014,2026-08-28,"170,31",2,
P-00065,S-014,2026-08-13,"30,65",1,
P-00066,S-014,2026-08-03,"10,53",3,
P-00067,S-014,2026-08-29,"159,92",4,10
P-00068,S-014,2026-08-06,"200,68",1,
P-00069,S-014,2026-08-22,"165,64",4,
P-00070,S-014,2026-08-07,"68,70",2,5
