txn_id,store_id,txn_date,amount,quantity,discount_pct
N-00000,S-007,2026-08-20,151.48,2,
N-00001,S-005,2026-08-27,164.72,2,
N-00002,S-005,2026-08-25,169.95,4,
N-00003,S-004,2026-08-04,218.51,4,15
N-00004,S-006,2026-08-20,203.16,4,
N-00005,S-001,2026-08-31,211.00,2,15
N-00006,S-004,2026-08-30,195.45,1,0
N-00007,S-003,2026-08-22,216.90,2,
N-00008,S-007,2026-08-19,9.90,3,15
N-00009,S-001,2026-08-18,161.54,4,
N-00010,S-006,2026-08-22,40.32,3,10
N-00011,S-007,2026-08-19,88.21,2,
N-00012,S-007,2026-08-16,231.48,3,10
N-00013,S-003,2026-08-08,111.08,1,5
N-00014,S-004,2026-08-03,168.49,4,
N-00015,S-001,2026-08-23,196.17,4,15
N-00016,S-006,2026-08-18,122.68,3,5
N-00017,S-002,2026-08-23,57.42,3,10
N-00018,S-003,2026-08-24,169.73,2,10
N-00019,S-007,2026-08-29,112.49,1,5
N-00020,S-002,2026-08-25,201.12,2,
N-00021,S-004,2026-08-23,189.94,3,
N-00022,S-001,2026-08-18,134.27,1,
N-00023,S-003,2026-08-08,89.66,3,
N-00024,S-001,2026-08-21,234.59,1,10
N-00025,S-001,2026-08-15,225.33,3,
N-00026,S-007,2026-08-31,207.01,1,15
N-00027,S-003,2026-08-29,179.59,3,15
N-00028,S-007,2026-08-16,118.26,3,
N-00029,S-007,2026-08-30,23.56,4,10
N-00030,S-001,2026-08-21,184.50,3,10
N-00031,S-005,2026-08-02,28.21,2,
N-00032,S-005,2026-08-28,51.24,3,10
N-00033,S-001,2026-08-03,121.11,3,10
N-00034,S-002,2026-08-15,39.76,1,
N-00035,S-005,2026-08-21,225.45,4,
N-00036,S-004,2026-08-13,127.77,2,
N-00037,S-004,2026-08-17,77.53,2,5
N-00038,S-006,2026-08-24,167.39,3,
N-00039,S-007,2026-08-19,231.57,3,
N-00040,S-006,2026-08-17,20.07,4,
N-00041,S-002,2026-08-11,9.14,2,
N-00042,S-002,2026-08-05,157.18,4,0
N-00043,S-001,2026-08-23,61.76,2,5
N-00044,S-007,2026-08-09,30.41,1,
N-00045,S-006,2026-08-08,1315.35,2,15
N-00046,S-005,2026-08-05,170.80,3,5
N-00047,S-001,2026-08-26,95.51,2,0
N-00048,S-003,2026-08-30,48.01,2,5
N-00049,S-007,2026-08-12,52.36,4,
N-00050,S-001,2026-08-16,3157.81,2,0
N-00051,S-007,2026-08-23,156.38,2,5
N-00052,S-001,2026-08-01,237.29,3,5
N-00053,S-002,2026-08-14,235.19,4,
N-00054,S-004,2026-08-28,129.94,3,
N-00055,S-007,2026-08-02,81.11,3,
N-00056,S-004,2026-08-10,165.45,1,
N-00057,S-002,2026-08-23,75.91,2,5
N-00058,S-004,2026-08-10,159.73,1,
N-00059,S-005,2026-08-10,62.01,1,0
N-00060,S-002,2026-08-28,141.69,4,5
N-00061,S-005,2026-08-15,7.01,4,0
N-00062,S-005,2026-08-12,148.76,4,5
