txn_id,store_id,txn_date,amount,quantity,discount_pct
S-00000,S-010,2026-08-18,1347.74,3,0
S-00001,S-011,2026-08-04,114.68,3,0
S-00002,S-011,2026-08-26,205.99,1,
S-00003,S-009,2026-08-27,130.36,4,
S-00004,S-010,2026-08-26,10.39,3,0
S-00005,S-011,2026-08-19,194.93,2,
S-00006,S-012,2026-08-04,77.61,3,15
S-00007,S-013,2026-08-23,61.73,2,
S-00008,S-008,2026-08-16,124.79,1,
S-00009,S-012,2026-08-13,5.52,1,15
S-00010,S-009,2026-08-30,62.82,3,10
S-00011,S-009,2026-08-26,159.54,1,0
S-00012,S-012,2026-08-17,192.90,1,
S-00013,S-013,2026-08-27,70.95,1,5
S-00014,S-010,2026-08-28,234.15,3,0
S-00015,S-008,2026-08-24,141.08,3,10
S-00016,S-010,2026-08-29,95.26,3,10
S-00017,S-012,2026-08-23,186.81,3,
S-00018,S-010,2026-08-19,156.18,2,10
S-00019,S-011,2026-08-24,227.06,3,5
S-00020,S-011,2026-08-25,92.61,2,
S-00021,S-012,2026-08-31,145.59,4,
S-00022,S-008,2026-08-06,129.12,2,5
S-00023,S-009,2026-08-06,3948.33,4,
S-00024,S-009,2026-08-14,239.73,3,
S-00025,S-011,2026-08-05,219.50,2,
S-00026,S-010,2026-08-06,198.94,3,
S-00027,S-008,2026-08-14,140.95,4,0
S-00028,S-011,2026-08-21,205.91,4,
S-00029,S-011,2026-08-16,49.29,4,5
S-00030,S-011,2026-08-14,1268.56,2,
S-00031,S-010,2026-08-30,227.60,4,5
S-00032,S-012,2026-08-10,12.87,4,15
S-00033,S-010,2026-08-12,26.21,3,
S-00034,S-008,2026-08-11,140.28,3,
S-00035,S-009,2026-08-04,91.16,1,
S-00036,S-012,2026-08-13,158.35,3,0
S-00037,S-011,2026-08-11,215.85,2,0
S-00038,S-008,2026-08-08,45.93,1,
S-00039,S-010,2026-08-26,124.16,4,
S-00040,S-013,2026-08-27,158.77,4,
S-00041,S-011,2026-08-22,100.28,4,0
